Species ,Year ,place,lat,lon,Description,Classification,imag,years
Astrophytum asterias,2011,"UCDavis Botanical Conservatory (Yolo County, California, US",38.5414347,-121.7570624,,1,f\f\Astrophytum asterias\1.jpg,1
Ferocactus cylindraceus,1998,"Joshua Tree National Monument (Riverside County, California, US)",33.9002347,-116.1408778,,1,new\new\Ferocactus cylindraceus var. cylindraceus\1.jpg,1
Ferocactus wislizeni,2006,"USA, Arizona, Pima County",32.263261,-112.736163,"Elevation: 550 meters (1804ft), Habitat: Sonoran Desert., Substrate: Road shoulder",1,new\new\Ferocactus wislizeni (Engelm.) Britton & Rose\1.jpg,1
Grusonia pulchella,1990,"Washoe County, Nevada, US",40.5639929,-121.8322724,,1,,1
Gymnocalycium stenopleurum,2018,"United States, Utah, Cache, Logan, private residence at 480 Canyon Road",41.7341801,-111.8254411,"Barrel cactus 2.5 - 3 inches tall; ribs 8; flowers approaching 3 inches long, pink",1,,1
Pedicactus despainii,2012,"Cultivation, Salt Lake County, Utah",39.808352,-162.7601024,four flowers open at same time from a solitary stem,1,,1
Peniocereus viperinus,2006,"San Diego County, California, US",33.0168295,-117.4064983,,1,,1
Grusonia parishii,1988,"U.S.A., Arizona, Mohave, Cottonwood Wash.",36.3186116,-113.9998256,,0,,1
Echinomastus warnockii,1995,"USA, Texas, Brewster County, Big Bend National Park, Willow Springs Site.",29.309333,-103.035317,"Plants occasional, small, single.",0,,1
